name_ar,name_en,poems_served,poems_total,era_id,era_name,century_now,death_year,birth_year,active_year,century_new,date_confidence,source_note
أبو العلاء المعري,Abu al-Ala al-Ma'arri,214,,2,عباسي,9,1057,973,,11,exact,"Blind Syrian philosopher-poet, d. 449 AH at Ma'arrat al-Nu'man"
ابن الرومي,Ibn al-Rumi,174,,2,عباسي,9,896,836,,9,exact,"Baghdad, d. 283 AH"
المتنبي,Al-Mutanabbi,151,,2,عباسي,9,965,915,,10,exact,"Killed near Dayr al-Aqul, 354 AH"
أبو نواس,Abu Nuwas,125,,2,عباسي,9,814,756,,9,approx,d. 198 AH; birth reported 747-762
الإمام الشافعي,Imam al-Shafi'i,96,,2,عباسي,9,820,767,,9,exact,"Founder of the Shafi'i madhhab, d. 204 AH"
العباس بن الأحنف,al-Abbas ibn al-Ahnaf,95,,2,عباسي,9,808,750,,9,approx,"Abbasid ghazal poet, d. c. 192 AH"
ابن المعتز,Ibn al-Mu'tazz,82,,2,عباسي,9,908,861,,10,exact,"Caliph for one day, d. 296 AH"
الخنساء,al-Khansa,73,,5,جاهلي,6,645,575,,7,approx,Mukhadram elegist; death commonly given c. 24 AH
صفي الدين الحلي,Ṣafī al-Dīn al-Ḥillī,73,,8,مملوكي,14,1349,1278,,14,exact,"Iraq, Mamluk-era"
أبو فراس الحمداني,Abu Firas al-Hamdani,71,,2,عباسي,9,968,932,,10,exact,Hamdanid prince of Aleppo
أسامة بن منقذ,Usāma ibn Munqidh,70,179,10,أيوبي,,1188,1095,,12,exact,"Shayzar amir, memoirist of the Crusades"
ابن خفاجة,Ibn Khafāja,70,,7,أندلسي,11,1139,1058,,12,exact,"Alzira, al-Andalus; the garden poet"
أبو تمام,Abu Tammam,69,,2,عباسي,9,845,805,,9,approx,Compiler of the Hamasa; d. c. 231 AH
علي بن أبي طالب,ʿAlī ibn Abī Ṭālib,69,,6,مخضرم,13,661,601,,7,exact,Fourth caliph; diwan attributed
الحلاج,al-Hallaj,66,,2,عباسي,9,922,858,,10,exact,"Executed in Baghdad, 309 AH"
لسان الدين بن الخطيب,Lisān al-Dīn ibn al-Khaṭīb,63,,8,مملوكي,14,1374,1313,,14,exact,Vizier and polymath of Nasrid Granada
أحمد شوقي,Ahmad Shawqi,61,161,3,متأخر,,1932,1868,,20,exact,"Amir al-Shu'ara, Egypt"
ابن حمديس,Ibn Ḥamdīs,61,,7,أندلسي,11,1133,1055,,12,exact,Sicilian-Andalusian
محيي الدين بن عربي,Muḥyī al-Dīn ibn ʿArabī,58,130,10,أيوبي,,1240,1165,,13,exact,"Al-Shaykh al-Akbar, b. Murcia, d. Damascus"
محمود سامي البارودي,Mahmoud Sami al-Baroudi,55,133,3,متأخر,,1904,1839,,20,exact,"Egypt, leader of the neoclassical revival"
الشريف الرضي,al-Sharif al-Radi,54,,2,عباسي,9,1015,970,,11,exact,"Baghdad, compiler of Nahj al-Balagha"
أبو العتاهية,Abu al-Atahiya,53,,2,عباسي,9,826,748,,9,exact,"Zuhd poet, d. 211 AH"
قيس بن الملوح,Qays ibn al-Mulawwaḥ,53,,4,أموي,8,688,,,7,approx,"Majnun Layla; Umayyad, death c. 68 AH"
ابن زيدون,Ibn Zaydūn,52,,7,أندلسي,11,1071,1003,,11,exact,Cordoba
مجهول,Majhul,50,129,3,متأخر,,,,,,,Anonymous corpus entry - see spot-check note; not datable
المعتمد بن عباد,Al-Muʿtamid ibn ʿAbbād,50,,7,أندلسي,11,1095,1040,,11,exact,"Abbadid king of Seville, d. in exile at Aghmat"
قيس بن الملوح (مجنون ليلى ),Qays ibn al-Mulawwah (Majnun Layla),48,,2,عباسي,9,688,,,7,approx,Duplicate spelling (trailing space) of Qays ibn al-Mulawwah
البحتري,Al-Buhturi,45,,2,عباسي,9,897,821,,9,exact,d. 284 AH
كشاجم,Kashajam,43,,2,عباسي,9,971,,,10,approx,"Mahmud ibn al-Husayn, d. c. 360 AH"
الطغرائي,Al-Ṭughrāʾī,41,,8,مملوكي,14,1121,1061,,12,exact,Author of Lamiyyat al-Ajam
