variant_ar,canonical_ar,canonical_en,poems_served,era_name,note
قيس بن الملوح (مجنون ليلى ),قيس بن الملوح,Qays ibn al-Mulawwaḥ,48,عباسي,Duplicate spelling (trailing space) of Qays ibn al-Mulawwah
ابن عبد ربه الاندلسي,ابن عبد ربه,Ibn Abd Rabbih,29,مملوكي,Duplicate of Ibn Abd Rabbih
الامام علي بن ابي طالب,علي بن أبي طالب,ʿAlī ibn Abī Ṭālib,24,أندلسي,Duplicate spelling of Ali ibn Abi Talib
قيس بن الملوح (مجنون ليلى),قيس بن الملوح,Qays ibn al-Mulawwaḥ,18,متأخر,Duplicate spelling of Qays ibn al-Mulawwah
ابو حيان النحوي الاندلسي,أبو حيان الأندلسي,Abū Ḥayyān al-Andalusī,11,مملوكي,Duplicate of Abu Hayyan al-Andalusi
محي الدين بن عربي,محيي الدين بن عربي,Muḥyī al-Dīn ibn ʿArabī,10,متأخر,Duplicate spelling of Muhyi al-Din ibn Arabi
امية الداني ( الحكم بن ابي الصلت ),الحكم بن ابي الصلت,Al-Hakam ibn Abi al-Salt,9,مملوكي,Duplicate of Umayya ibn Abd al-Aziz al-Dani
الشافعي,الإمام الشافعي,Imam al-Shafi'i,8,متأخر,Duplicate of Imam al-Shafi'i
الصنوبري,ابو بكر الصنوبري,Abu Bakr al-Sanawbari,8,عباسي,Duplicate of Abu Bakr al-Sanawbari
ابن معصوم الحسني الحسيني,ابن معصوم المدني,Ibn Ma'sum al-Madani,7,متأخر,Duplicate of Ibn Ma'sum al-Madani
ابو الفضل بن الاحنف,العباس بن الأحنف,al-Abbas ibn al-Ahnaf,7,متأخر,Duplicate (kunya) of al-Abbas ibn al-Ahnaf
عبد الجبار بن حمديس,ابن حمديس,Ibn Ḥamdīs,6,متأخر,Duplicate (full name) of Ibn Hamdis
عمر ابن ابي ربيعة,عمر بن أبي ربيعة,ʿUmar ibn Abī Rabīʿah,6,متأخر,Duplicate spelling of Umar ibn Abi Rabi'a
جميل بن معمر,جميل بثينة,Jamīl Buṭaynah,5,أندلسي,Duplicate (full name) of Jamil Buthayna
ابن معصوم,ابن معصوم المدني,Ibn Ma'sum al-Madani,4,عثماني,Duplicate of Ibn Ma'sum al-Madani
قيس لبنى,قيس بن ذريح,Qays ibn Dhurayḥ,4,متأخر,Duplicate byname of Qays ibn Dhurayh
ابن رشيق القيرواني الازدي,ابن رشيق القيرواني,Ibn Rashiq al-Qayrawani,4,متأخر,Duplicate of Ibn Rashiq al-Qayrawani
مجنون ليلى,قيس بن الملوح,Qays ibn al-Mulawwaḥ,3,متأخر,Duplicate of Qays ibn al-Mulawwah
ابن دريد,ابن دريد الأزدي,Ibn Durayd al-Azdi,3,متأخر,Duplicate of Ibn Durayd al-Azdi
عماد الدين الاصفهاني,العماد الأصبهاني,Al-ʿImād al-Iṣbahānī,3,أندلسي,Duplicate of al-Imad al-Isbahani
حيدر بن سليمان الحلي,حيدر الحلي,Haydar al-Hilli,2,متأخر,Duplicate (full name) of Haydar al-Hilli
علي بن محمد التهامي,التهامي,al-Tahami,2,متأخر,Duplicate of al-Tihami
لبيد بن ربيعة العامري,لبيد بن ربيعة,Labīd ibn Rabīʿah,2,متأخر,Duplicate (full name) of Labid ibn Rabi'a
ابراهيم بن هلال بن زهرون,ابو اسحاق الصابي,Abu Ishaq al-Sabi,2,متأخر,Duplicate of Abu Ishaq al-Sabi
ابو منصور الثعالبي,الثعالبي,al-Tha'alibi,2,أندلسي,Duplicate of al-Tha'alibi
عمرو بن معدي كرب,عمرو بن معد يكرب,ʿAmr ibn Maʿdī Karib,2,أموي,Duplicate spelling of Amr ibn Ma'di Karib
ليلى الاخيلية,ليلى الأخليلية,Laylā al-Akhlīliyyah,2,عباسي,Duplicate spelling of Layla al-Akhyaliyya
امية بن عبد العزيز الداني,الحكم بن ابي الصلت,Al-Hakam ibn Abi al-Salt,1,متأخر,Duplicate of Umayya ibn Abd al-Aziz al-Dani
ابن سارة الاندلسي,ابن سارة ( صارة ) الشنتريني,Ibn Sarah al-Shantarin,1,متأخر,Duplicate of Ibn Sarah al-Shantarini
لسان الدين الخطيب,لسان الدين بن الخطيب,Lisān al-Dīn ibn al-Khaṭīb,1,متأخر,Duplicate spelling of Lisan al-Din ibn al-Khatib
عماد الدين الاصبهاني,العماد الأصبهاني,Al-ʿImād al-Iṣbahānī,1,متأخر,Duplicate spelling of al-Imad al-Isbahani
مرسي شاكر الطنطاوي,مرسي شاكر طنطاوي,Mursi Shaker Tantawi,1,متأخر,Duplicate spelling of Mursi Shakir Tantawi
أبو الحسين النوري,ابو الحسن النوري,Abu al-Hasan al-Nuri,1,عباسي,"Duplicate of Abu al-Hasan al-Nuri, Baghdad Sufi"
أبو بكر الخالدي,ابو بكر الخالدي ( الخالديان ),Abu Bakr al-Khalidi (al-Khalidiyan),1,عباسي,Duplicate of Abu Bakr al-Khalidi (al-Khalidiyan)
ابن الابار القضاعي البنلسي,ابن الابار الاشبيلي,Ibn al-Abbar al-Ishbili,1,مملوكي,Duplicate spelling of Ibn al-Abbar
ابن الزقاق,ابن الزقاق البلنسي,Ibn al-Zuqaaq al-Balansi,1,مملوكي,Duplicate of Ibn al-Zuqaq al-Balansi
ابن باجه,ابن باجة الاندلسي,Ibn Bajjah al-Andalusi,1,مملوكي,Duplicate spelling of Ibn Bajja (Avempace)
ابن حديدة,ابن حديدة اللخمي القيرواني,Ibn Hadidat al-Lakhmi al-Qayrawani,1,أندلسي,Duplicate/short form of Ibn Hadida al-Lakhmi
ابن هذيل,ابن هذيل القرطبي,Ibn Hudhayl al-Qurṭubī,1,مملوكي,Duplicate/short form of Ibn Hudhayl al-Qurtubi
ابن وهيب الحميري,محمد بن وهيب الحميري,Muhammad bin Wahib al-Himayri,1,عباسي,Duplicate of Muhammad ibn Wuhayb al-Himyari
ابو الشيص محمد,أبو الشيص الخزاعي,Abu al-Shays al-Khaza'i,1,أندلسي,Duplicate of Abu al-Shis al-Khuza'i
الحسين بن علي,الحسين بن علي بن ابي طالب,Al-Husayn ibn Ali ibn Abi Talib,1,أموي,Duplicate of al-Husayn ibn Ali ibn Abi Talib
الكميت بن زيد,الكميت بن زيد الاسدي,al-Kumait bin Zayd al-Asadi,1,أموي,Duplicate of al-Kumayt ibn Zayd al-Asadi
الميكالي,ابو الفضل الميكالي,Abū al-Faḍl al-Mīkālī,1,أندلسي,Duplicate of Abu al-Fadl al-Mikali
شرف الدين البوصيري,البوصيري,Al-Būṣīrī,1,أندلسي,Duplicate (full name) of al-Busiri
شهاب الدين الالوسي,ابوالثناء شهاب الدين محمود الالوسي,Abu al-Thana' Shihab al-Din Mahmud al-Alusi,1,جاهلي,Duplicate of Mahmud al-Alusi
عبد المحسن الصوري بن غلبون,عبد المحسن الصوري,Abd al-Muhsin al-Suri,1,أندلسي,Duplicate (full name) of Abd al-Muhsin al-Suri
عرقلة الكلبي الدمشقي,عرقلة الدمشقي,Urqula al-Dimashqi,1,أندلسي,Duplicate (full name) of Urqula al-Dimashqi
تماضر بنت الشريد,الخنساء,al-Khansa,1,جاهلي,Given name of al-Khansa
