name_ar,name_en,poems_served,century_new,era_id,era_name,target_era,target_name,date_confidence,source_note
الخنساء,al-Khansa,73,7,5,جاهلي,6,مخضرم,approx,Mukhadram elegist; death commonly given c. 24 AH
قيس بن الملوح (مجنون ليلى ),Qays ibn al-Mulawwah (Majnun Layla),48,7,2,عباسي,4,أموي,approx,Duplicate spelling (trailing space) of Qays ibn al-Mulawwah
الطغرائي,Al-Ṭughrāʾī,41,12,8,مملوكي,2,عباسي,exact,Author of Lamiyyat al-Ajam
الشريف المرتضى,Al-Sharīf al-Murtaḍā,36,11,8,مملوكي,2,عباسي,exact,Baghdad
ابن عبد ربه الاندلسي,Ibn Abd Rabbih al-Andalusi,29,10,8,مملوكي,2,عباسي,exact,Duplicate of Ibn Abd Rabbih
الامام علي بن ابي طالب,Al-Imam Ali ibn Abi Talib,24,7,7,أندلسي,6,مخضرم,exact,Duplicate spelling of Ali ibn Abi Talib
ابن نباتة المصري,Ibn Nabatah al-Misri,23,14,3,متأخر,8,مملوكي,exact,Mamluk Cairo/Damascus
قيس بن الملوح (مجنون ليلى),Qays ibn al-Mulawwah (Majnun Layla),18,7,3,متأخر,4,أموي,approx,Duplicate spelling of Qays ibn al-Mulawwah
ابراهيم ناجي,Ibrahim Naji,18,20,4,أموي,3,متأخر,exact,"Egypt, Apollo group"
احمد الصافي النجفي,Ahmad al-Safi al-Najafi,18,20,6,مخضرم,3,متأخر,exact,Iraq
ابن رشيق القيرواني,Ibn Rashiq al-Qayrawani,17,11,8,مملوكي,2,عباسي,approx,"Kairouan, author of al-Umda"
ابن الزقاق البلنسي,Ibn al-Zuqaaq al-Balansi,14,12,3,متأخر,7,أندلسي,approx,Valencia; nephew of Ibn Khafaja
حافظ ابراهيم,Hafez Ibrahim,13,20,7,أندلسي,3,متأخر,exact,"Egypt, Poet of the Nile"
ابن معصوم المدني,Ibn Ma'sum al-Madani,10,18,3,متأخر,9,عثماني,exact,"Ali Khan al-Madani, author of Sulafat al-Asr"
محي الدين بن عربي,Muhyi al-Din ibn Arabi,10,13,3,متأخر,10,أيوبي,exact,Duplicate spelling of Muhyi al-Din ibn Arabi
الحكم بن ابي الصلت,Al-Hakam ibn Abi al-Salt,9,12,3,متأخر,2,عباسي,exact,Umayya ibn Abd al-Aziz ibn Abi al-Salt al-Dani
امية الداني ( الحكم بن ابي الصلت ),Umaya al-Dani (Al-Hakam ibn Abi al-Salt),9,12,8,مملوكي,7,أندلسي,exact,Duplicate of Umayya ibn Abd al-Aziz al-Dani
